K	Variance
401	0.13037083
402	0.13219562
403	0.13019362
404	0.1319705
405	0.12935893
406	0.21610303
407	0.12537478
408	0.1268536
409	0.12446002
410	0.13553976
411	0.13055053
412	0.20505014
413	0.12699994
414	0.12643917
415	0.12362572
416	0.13245405
417	0.12660664
418	0.12421317
419	0.12647328
420	0.13096778
421	0.13173617
422	0.12749125
423	0.12496038
424	0.12612198
425	0.12339952
426	0.12259697
427	0.12391724
428	0.12130846
429	0.122171015
430	0.11944503
431	0.118599534
432	0.120758265
433	0.12749955
434	0.119025
435	0.201393
436	0.118162744
437	0.11840846
438	0.12180281
439	0.1989787
440	0.2011923
441	0.11676978
442	0.11677475
443	0.12008676
444	0.124853574
445	0.1152164
446	0.11511649
447	0.11803126
448	0.120294765
449	0.19794999
450	0.12149663
451	0.117731236
452	0.20133866
453	0.2005396
454	0.20441422
455	0.1921656
456	0.11195946
457	0.19920796
458	0.11001589
459	0.111403346
460	0.11363901
461	0.1926837
462	0.111734346
463	0.10873196
464	0.10844728
465	0.19526185
466	0.115571484
467	0.11578449
468	0.1918069
469	0.18251318
470	0.11020654
471	0.108043455
472	0.11166378
473	0.10741948
474	0.11154294
475	0.19146588
476	0.105435275
477	0.19819443
478	0.10978658
479	0.10969638
480	0.10520132
481	0.10513224
482	0.2009775
483	0.18352106
484	0.19401519
485	0.10791455
486	0.1730919
487	0.10782179
488	0.10020669
489	0.19352245
490	0.10461214
491	0.09488077
492	0.10448874
493	0.10110187
494	0.18267727
495	0.1762928
496	0.10006062
497	0.19037448
498	0.18337743
499	0.101348296
500	0.10631502
