K	Variance
301	7.771078E-6
302	7.902015E-6
303	8.299772E-6
304	7.2614444E-6
305	7.836854E-6
306	6.9673333E-6
307	7.077711E-6
308	7.24593E-6
309	7.0438346E-6
310	6.5956947E-6
311	7.273864E-6
312	7.424024E-6
313	7.561697E-6
314	7.20892E-6
315	6.865133E-6
316	6.777123E-6
317	6.6410234E-6
318	6.757386E-6
319	6.4194337E-6
320	7.0721353E-6
321	7.1215336E-6
322	6.6090593E-6
323	7.098191E-6
324	6.249916E-6
325	6.4271762E-6
326	6.1946844E-6
327	7.1047066E-6
328	6.835681E-6
329	6.790331E-6
330	6.767689E-6
331	6.640887E-6
332	6.801157E-6
333	6.646449E-6
334	6.950316E-6
335	6.41914E-6
336	6.9185894E-6
337	6.3081357E-6
338	6.651478E-6
339	6.4341E-6
340	6.269351E-6
341	6.4237606E-6
342	6.306232E-6
343	5.97155E-6
344	6.1857377E-6
345	6.3025377E-6
346	5.9446447E-6
347	6.2176036E-6
348	6.224461E-6
349	6.1132473E-6
350	5.8875703E-6
351	6.3238654E-6
352	6.287296E-6
353	5.743674E-6
354	5.945186E-6
355	5.9741346E-6
356	6.1413734E-6
357	6.0665902E-6
358	5.8660303E-6
359	5.6434715E-6
360	5.5764795E-6
361	5.7518187E-6
362	5.996415E-6
363	5.7292937E-6
364	5.8791934E-6
365	5.8125147E-6
366	5.446582E-6
367	5.905476E-6
368	5.737094E-6
369	6.0417287E-6
370	5.6743866E-6
371	5.7794773E-6
372	6.0540183E-6
373	5.8053256E-6
374	5.7733987E-6
375	5.856903E-6
376	5.6090666E-6
377	5.821784E-6
378	5.603131E-6
379	5.6676117E-6
380	5.6218273E-6
381	5.0532553E-6
382	5.93639E-6
383	5.243292E-6
384	5.292142E-6
385	5.6487506E-6
386	5.373422E-6
387	5.234157E-6
388	5.177607E-6
389	5.5312557E-6
390	5.433955E-6
391	5.524783E-6
392	5.449189E-6
393	5.5222563E-6
394	5.221942E-6
395	5.41093E-6
