apartment_building_outdoor		0.00317449	0.0034049
harbor		2.4783E-4	1.0704E-4
herb_garden		0.00173899	0.00215665
office		4.7441E-4	5.0454E-4
field_wild		0.00552032	0.0099014
ski_resort		2.025E-4	6.696E-5
plaza		0.00876948	0.00729501
museum_indoor		0.00216982	0.00128041
dam		0.00125883	0.00108133
pavilion		0.00371189	0.00297662
alley		0.03234262	0.01487962
candy_store		3.0275E-4	1.1695E-4
tower		0.0256514	0.02703872
rice_paddy		0.00118879	0.00133229
music_studio		3.9009E-4	4.4753E-4
ice_cream_parlor		2.407E-4	1.9031E-4
parlor		8.4842E-4	6.0076E-4
train_railway		8.7016E-4	0.00154026
windmill		0.00193633	0.0037018
hot_spring		7.4975E-4	5.5214E-4
runway		0.00109355	0.00158593
art_studio		6.2097E-4	3.7132E-4
church_outdoor		0.02081831	0.02095917
schoolhouse		0.00965518	0.01781631
track_outdoor		6.9705E-4	6.7345E-4
bakery_shop		4.7428E-4	1.7682E-4
valley		0.00299727	0.00382515
golf_course		0.42587423	0.45589364
train_station_platform		9.3146E-4	0.00103782
pond		0.00282319	0.00188778
picnic_area		0.00352493	0.00250927
underwater_coral_reef		0.00126117	4.7003E-4
kindergarden_classroom		2.6653E-4	2.4197E-4
lighthouse		0.00316145	0.00213457
cottage_garden		0.0016189	0.00207403
boxing_ring		3.175E-5	1.632E-5
stadium_football		0.00191012	0.00245518
water_tower		0.01381774	0.01470388
tree_farm		0.02142823	0.02589733
iceberg		9.761E-5	4.191E-5
playground		0.01401636	0.00666633
bamboo_forest		0.00272827	0.01024113
doorway_outdoor		0.00174945	0.00255846
hospital		0.02935266	0.03086708
engine_room		1.7665E-4	1.4599E-4
gas_station		0.00206901	0.00261669
baseball_field		0.00817673	0.00697597
kitchenette		8.924E-5	9.131E-5
fire_station		0.00358167	0.00495163
topiary_garden		0.001761	0.00255088
rope_bridge		2.5024E-4	3.7485E-4
mountain_snowy		6.0401E-4	2.8175E-4
lobby		5.3057E-4	3.9034E-4
mausoleum		0.04113981	0.03458564
rainforest		0.03384135	0.07697521
boardwalk		0.00196671	0.00149572
