building_facade		0.03081864	0.02298739	0.01494075	0.01509111	0.02087528	0.01365842	0.02472889	0.01532232	0.01393223	0.01571478	0.01930452	0.00910479	0.00963527	0.0146373	0.01761524	0.02637695	0.01662294	0.01555292	0.01546036	0.01600916	0.01950825	0.01256161	0.02129871	0.03084602	0.01965081	0.03588041	0.01721336	0.03377205	0.02341823	0.01791187	0.01641946	0.01593633	0.01587035	0.01570656	0.01851686	0.00950776	0.01708377	0.0142966	0.01778136	0.02362503
restaurant_patio		1.9617E-4	1.5307E-4	8.588E-5	1.7022E-4	4.412E-5	2.523E-5	3.246E-5	1.806E-5	2.988E-5	3.028E-5	4.43E-5	3.949E-5	4.22E-5	8.513E-5	5.767E-5	5.241E-5	5.15E-5	2.593E-5	2.182E-5	2.371E-5	3.975E-5	4.833E-5	3.766E-5	4.883E-5	4.051E-5	9.098E-5	9.432E-5	9.167E-5	8.939E-5	7.401E-5	9.849E-5	1.4124E-4	8.867E-5	8.29E-5	1.084E-4	8.917E-5	1.3573E-4	7.986E-5	1.9093E-4	5.1315E-4
airport_terminal		3.741E-5	2.843E-5	7.47E-6	9.36E-6	3.77E-6	1.09E-6	8.7E-7	5.6E-7	8.7E-7	9.0E-7	1.5E-6	1.0E-6	2.1E-6	4.05E-6	2.28E-6	3.21E-6	3.97E-6	3.94E-6	2.86E-6	8.8E-7	2.28E-6	2.08E-6	5.63E-6	4.62E-6	3.3E-6	3.68E-6	1.474E-5	1.485E-5	5.95E-6	3.33E-6	6.09E-6	5.75E-6	8.07E-6	5.05E-6	7.63E-6	7.22E-6	3.12E-5	2.356E-5	3.562E-5	3.283E-5
cafeteria		1.626E-5	1.47E-5	8.8E-6	1.143E-5	5.44E-6	4.64E-6	3.74E-6	2.96E-6	4.42E-6	3.91E-6	6.84E-6	4.41E-6	5.44E-6	1.141E-5	6.71E-6	7.42E-6	8.44E-6	5.41E-6	4.12E-6	3.55E-6	6.25E-6	7.82E-6	7.12E-6	6.85E-6	5.49E-6	1.126E-5	1.28E-5	1.158E-5	1.063E-5	1.209E-5	9.66E-6	1.722E-5	1.591E-5	1.437E-5	2.128E-5	2.022E-5	2.527E-5	2.285E-5	3.215E-5	4.914E-5
shopfront		0.01276906	0.00480714	0.00127598	8.8672E-4	3.5433E-4	1.3849E-4	1.2159E-4	1.3126E-4	7.823E-5	1.1407E-4	9.406E-5	1.3045E-4	6.893E-5	1.0727E-4	1.7206E-4	2.2454E-4	1.7196E-4	1.9339E-4	1.2746E-4	1.8527E-4	2.18E-4	2.1124E-4	2.1428E-4	4.4985E-4	5.4553E-4	4.255E-4	6.5858E-4	0.00173372	7.0389E-4	3.6018E-4	4.8258E-4	2.0351E-4	1.4154E-4	1.7591E-4	1.3066E-4	8.505E-5	1.9943E-4	2.0812E-4	2.2774E-4	3.6571E-4
desert_vegetation		0.00230614	0.00155559	0.00149644	0.00141742	0.00183521	0.00181222	0.00135029	7.8432E-4	0.00111314	0.00178967	0.00108695	0.00130916	9.8377E-4	8.321E-4	0.0012778	0.00101309	0.00160645	6.8827E-4	9.0588E-4	5.7079E-4	6.2054E-4	5.1962E-4	6.7931E-4	6.8911E-4	0.0011933	0.00120716	6.3148E-4	6.52E-4	6.9715E-4	8.0219E-4	5.2131E-4	6.2403E-4	7.1495E-4	9.6903E-4	0.00128779	0.00169451	0.00106265	0.00127058	0.00144844	9.3484E-4
ski_slope		3.441E-5	6.13E-5	4.119E-5	2.998E-5	1.224E-5	1.015E-5	8.28E-6	7.41E-6	7.69E-6	7.82E-6	6.71E-6	7.19E-6	9.62E-6	6.4E-6	9.54E-6	1.18E-5	1.331E-5	1.298E-5	8.9E-6	6.56E-6	1.129E-5	1.81E-5	1.306E-5	1.595E-5	2.171E-5	5.061E-5	3.347E-5	3.164E-5	5.113E-5	8.359E-5	2.391E-5	2.383E-5	3.448E-5	3.453E-5	7.011E-5	3.049E-5	4.4E-5	1.2357E-4	9.514E-5	8.908E-5
bayou		0.01031352	0.0038043	0.00416859	0.01032046	0.0109048	0.00275842	0.00116898	0.00150854	4.2937E-4	8.8703E-4	0.0013118	0.00149573	0.00179007	0.00131143	0.0017346	0.00495966	0.00402775	0.00269091	0.00485994	0.00751517	0.00960601	0.01491688	0.00199587	0.00434427	0.00816551	0.00528405	0.00347202	0.00326448	0.00688934	0.00408115	0.01097771	0.00260713	0.00614502	0.00646122	0.00169025	0.00198958	0.00187058	0.00193087	0.0017824	8.8495E-4
mountain		0.00379943	0.00246056	0.00227868	0.00310889	0.00214499	0.00244272	0.00315544	0.00216379	0.00197433	0.00252325	0.00210823	0.00215326	0.00130279	0.00152735	0.00244403	0.00158156	0.00483369	0.00316278	0.00802543	0.00424408	0.00270995	0.00294642	0.00554018	0.00350105	0.00514272	0.0092273	0.00280921	0.00435799	0.00278761	0.00626619	0.00543753	0.00312235	0.00527155	0.00963887	0.02110651	0.02592382	0.0114612	0.01532811	0.00752258	0.00991684
bar		0.00193028	0.00132552	0.00113101	7.6261E-4	2.3088E-4	8.419E-5	2.811E-5	4.711E-5	8.103E-5	1.8255E-4	3.932E-5	8.183E-5	4.436E-5	5.399E-5	9.051E-5	1.2504E-4	8.832E-5	6.29E-5	4.078E-5	5.399E-5	6.705E-5	7.755E-5	8.301E-5	1.3153E-4	2.0138E-4	1.5681E-4	2.0081E-4	4.4784E-4	3.9128E-4	1.7964E-4	1.6196E-4	8.292E-5	1.5771E-4	9.159E-5	1.017E-4	1.4511E-4	7.7875E-4	5.7465E-4	4.8998E-4	2.3923E-4
