apartment_building_outdoor		0.01176805	0.01524832
harbor		1.3491E-4	1.642E-4
herb_garden		3.8101E-4	6.001E-4
office		1.33E-5	1.448E-5
field_wild		0.00107441	0.00195911
ski_resort		2.2573E-4	8.515E-5
plaza		0.01356129	0.01726903
dam		0.00253665	0.00268159
museum_indoor		5.7469E-4	2.351E-4
pavilion		0.00176269	0.00145792
alley		0.13213551	0.0912092
candy_store		3.749E-5	2.227E-5
tower		0.01758842	0.01320434
rice_paddy		2.9747E-4	4.2527E-4
music_studio		4.906E-5	3.114E-5
ice_cream_parlor		4.794E-5	5.066E-5
parlor		9.117E-5	4.329E-5
train_railway		0.00220666	0.00150747
windmill		0.0017944	8.9365E-4
hot_spring		7.7165E-4	2.8012E-4
runway		9.558E-5	1.0213E-4
art_studio		1.3898E-4	5.768E-5
church_outdoor		0.03113909	0.0227579
schoolhouse		0.00797041	0.01149587
track_outdoor		7.3367E-4	0.00102171
bakery_shop		1.951E-5	2.328E-5
valley		0.00205762	0.0032007
golf_course		0.00128823	0.00142992
train_station_platform		0.00259063	0.00201186
pond		0.00130353	6.3493E-4
picnic_area		0.00236187	0.0032129
underwater_coral_reef		9.625E-5	5.133E-5
kindergarden_classroom		2.477E-5	2.486E-5
lighthouse		0.00118254	4.305E-4
cottage_garden		0.00188964	0.00161589
boxing_ring		2.79E-5	1.356E-5
stadium_football		0.01369314	0.01315101
water_tower		0.00234302	0.00128432
tree_farm		0.0107598	0.00592532
iceberg		6.942E-5	3.557E-5
playground		0.0037667	0.00538853
bamboo_forest		0.00380179	0.00139272
hospital		0.34527567	0.26398483
doorway_outdoor		0.00322925	0.00879784
engine_room		5.255E-5	3.738E-5
gas_station		1.9048E-4	2.4469E-4
baseball_field		0.00645352	0.00603578
kitchenette		4.81E-6	1.144E-5
fire_station		0.00179825	0.00217983
topiary_garden		0.00141379	0.00276529
rope_bridge		9.8885E-4	0.0012997
mountain_snowy		4.9982E-4	3.0639E-4
lobby		2.5282E-4	8.4E-5
mausoleum		0.02107283	0.03169036
rainforest		0.03291046	0.04961168
boardwalk		0.01400089	0.00555652
